ID;Card Name;Req;Mana Cost;Max Items;GFX Sprite;Class;Range;Act Time;Param1;Param2;Param3;Desc;Chr Sprite;Cooldown;Charge Cost;;;
0;Sword;4;5;;22;DiabArtifactCard;100;;1;;;Hit additional enemies during single blow;;;;;;
1;Ice Weapon;14;5;;27;DiabArtifactCard;0;;50;;;Chance to set fire on hit, double damage to fire creatures.;;;;;;
2;Fire Weapon;7;5;;60;DiabArtifactCard;0;;50;;;Chance to freeze target on hit, double damage to ice creatures.;;;;;;
3;_;2;5;;28;DiabArtifactCard;0;;10;;;Basic Armor.;;;;;;
4;Shield;9;5;;29;DiabArtifactCard;0;;50;;;Chance to dodge incoming missiles.;;;;;;
5;Amulet of Life;3;5;;31;DiabArtifactCard;0;;4;;;Regenerates Life over time.;;;;;;
6;Amulet of Mana;8;5;;32;DiabArtifactCard;0;;4;;;Regenrates Mana over time.;;;;;;
7;_;1;0;;33;DiabArtifactCard;0;;;;;;;;;;;
8;_;1;0;;;DiabArtifactCard;0;;;;;;;;;;;
9;Poison Dagger;12;10;;30;DiabArtifactCard;0;;25;;;Chance to poison enemies when being hit.;;;;;;
10;Vampiric Gloves;2;5;;28;DiabArtifactCard;0;;33;;;Chance to recover hearts lost in battle.;;;;;;
11;_;1;0;;;DiabArtifactCard;0;;;;;;;;;;;
12;_;1;0;;;DiabArtifactCard;0;;;;;;;;;;;
13;_;1;0;;;DiabArtifactCard;0;;;;;;;;;;;
14;_;1;0;;;DiabArtifactCard;0;;;;;;;;;;;
15;Throw;3;1;;61;DiabSpellCard;200;;1;;;Damage and throw away enemies ;;5;;;;
16;Cluster;8;2;;63;DiabSpellCard;200;;1;;;Damage and cluster enemies around target;;5;;;;
17;_;1;0;;;DiabArtifactCard;;;;;;;;;;;;
18;_;1;0;;;DiabArtifactCard;;;;;;;;;;;;
19;_;1;0;;;DiabArtifactCard;;;;;;;;;;;;
20;_;1;0;;;DiabArtifactCard;;;;;;;;;;;;
21;_;1;0;;;DiabArtifactCard;;;;;;;;;;;;
22;_;1;0;;;DiabArtifactCard;;;;;;;;;;;;
23;_;1;0;;;DiabArtifactCard;;;;;;;;;;;;
24;Town Portal;5;0;10;34;DiabTownPortalItemCard;;;;;;Open a portal direct to Town.;104;10;250;;;
25;Health Potion;1;0;10;35;DiabPotionItemCard;;;10;0;;Restores an amount of Health;102;5;150;;;
26;Mana Potion;5;0;10;36;DiabPotionItemCard;;;0;10;;Restores an amount of Mana;103;5;200;;;
27;_;1;0;10;;DiabItemCard;;;;;;;;;;;;
28;_;1;0;10;;DiabItemCard;;;;;;;;;;;;
29;_;1;0;10;;DiabItemCard;;;;;;;;;;;;
30;Rejuv. Potion;15;0;10;37;DiabPotionItemCard;;;25;25;;Instantly Restores amount of Health and Mana.;110;1;800;;;
31;Antidote;12;0;10;59;DiabPotionItemCard;;;0;0;;Removes negative effects affecting your character.;235;10;500;;;
32;_;1;0;10;;DiabItemCard;;;;;;;;;;;;
33;_;1;0;10;;DiabItemCard;;;;;;;;;;;;
34;_;1;0;10;;DiabItemCard;;;;;;;;;;;;
35;_;1;0;10;;DiabItemCard;;;;;;;;;;;;
